yyyy;mm;dd;date;uvief;uvdef;uvdvf;uvddf;ozone
1971;9;6;1971-09-06;10786.62700;5117.78364;9769.16196;2904.07435;3064.92386
1971;9;7;1971-09-07;11659.59202;5515.58501;10686.08550;3305.80626;2908.26492
1971;9;8;1971-09-08;12097.38154;5715.23124;11145.19168;3512.42367;2840.30494
1971;9;9;1971-09-09;11026.68082;5231.45167;10017.42416;3001.78917;3040.73520
1971;9;10;1971-09-10;11962.09542;5656.68498;11000.80142;3437.85007;2877.57323
1971;9;11;1971-09-11;11726.56087;5551.56677;10751.21741;3321.64092;2925.03240
1971;9;12;1971-09-12;11617.20852;5503.10120;10634.68052;3265.98612;2951.63346
1971;9;13;1971-09-13;12458.38217;5886.83308;11521.10817;3666.90988;2815.51120
1971;9;14;1971-09-14;11744.24626;5564.25306;10766.97492;3318.43612;2941.75574
1971;9;15;1971-09-15;13218.56370;6234.50299;12321.30650;4038.39737;2712.58854
1971;9;16;1971-09-16;12202.10364;5774.37462;11248.29349;3531.60979;2874.26386
1971;9;17;1971-09-17;11024.45498;5241.66288;10006.49709;2973.91805;3094.80452
1971;9;18;1971-09-18;11559.35952;5485.63902;10569.44898;3218.85739;2996.86586
1971;9;19;1971-09-19;11783.10552;5588.79142;10804.50578;3321.11605;2961.96346
1971;9;20;1971-09-20;11415.30429;5422.69262;10417.34961;3145.97045;3033.82640
1971;9;21;1971-09-21;11860.67406;5626.77742;10886.81978;3353.09205;2956.75240
1971;9;22;1971-09-22;10872.07210;5178.38525;9843.89022;2892.71988;3150.30468
1971;9;23;1971-09-23;11502.96242;5466.75987;10509.38214;3180.14396;3029.91626
1971;9;24;1971-09-24;12608.61539;5970.22069;11676.02510;3706.64690;2842.37480
1971;9;25;1971-09-25;13169.93402;6227.17773;12269.88254;3983.33462;2760.57120
1971;9;26;1971-09-26;14500.38264;6833.16218;13678.72875;4668.71933;2584.65240
1971;9;27;1971-09-27;12995.33781;6150.52604;12086.29367;3892.60464;2791.81520
1971;9;28;1971-09-28;13108.48563;6203.12980;12207.00215;3947.60867;2777.26012
1971;9;29;1971-09-29;13599.56066;6427.93366;12727.76904;4194.25213;2708.05680
1971;9;30;1971-09-30;14075.06431;6645.80674;13232.03549;4437.89801;2646.52386
1971;10;1;1971-10-01;13509.67311;6389.88820;12634.91095;4146.24613;2724.02320
1971;10;2;1971-10-02;13366.06046;6325.73594;12484.14789;4072.00027;2745.43494
1971;10;3;1971-10-03;14269.88564;6738.48079;13443.25441;4537.01380;2624.76132
1971;10;4;1971-10-04;14393.25284;6796.14334;13574.77201;4600.78526;2609.61826
1971;10;5;1971-10-05;12766.82394;6057.14449;11853.85043;3770.55241;2837.56480
1971;10;6;1971-10-06;12721.21688;6036.62597;11806.20806;3747.76787;2845.12600
1971;10;7;1971-10-07;13111.61115;6216.52922;12221.81632;3941.83566;2785.39986
1971;10;8;1971-10-08;12542.04661;5958.09468;11620.42804;3659.66566;2872.93906
1971;10;9;1971-10-09;12196.60256;5801.17854;11255.40371;3492.81429;2929.78680
1971;10;10;1971-10-10;11572.76331;5517.90357;10597.34194;3198.44041;3039.61614
1971;10;11;1971-10-11;11144.66796;5323.55411;10146.09620;3001.10361;3122.09266
1971;10;12;1971-10-12;11971.88524;5701.97414;11023.78079;3387.35324;2965.49680
1971;10;13;1971-10-13;11952.09801;5694.19854;11004.90996;3378.49201;2966.81440
1971;10;14;1971-10-14;13321.28306;6320.45350;12458.41581;4049.88940;2747.66160
1971;10;15;1971-10-15;14889.25485;7035.94501;14125.10562;4869.48063;2541.46360
1971;10;16;1971-10-16;16070.41739;7576.00581;15385.13988;5520.30571;2410.19546
1971;10;17;1971-10-17;15599.03492;7362.60030;14885.08969;5258.53797;2457.93200
1971;10;18;1971-10-18;14720.33839;6963.17051;13953.48676;4782.37952;2555.86840
1971;10;19;1971-10-19;13754.91923;6523.32994;12930.37575;4277.77881;2676.38040
1971;10;20;1971-10-20;11699.57007;5586.06869;10751.70139;3265.86624;2996.21732
1971;10;21;1971-10-21;12973.33265;6168.88118;12105.77877;3884.55302;2782.17666
1971;10;22;1971-10-22;13439.98295;6382.53608;12603.27015;4120.90125;2710.97240
